img,folder,ratio,h,w,h_cm,w_cm,area,mode,gmean,std
../images/mask_set/2high_exsertion_low_seed_set/33.tif,2high_exsertion_low_seed_set,0.3714285714,105,39,1.1052631579,0.4105263158,7893,31,36.6,20.9365197592
../images/mask_set/2high_exsertion_low_seed_set/108.tif,2high_exsertion_low_seed_set,0.40625,96,39,1.0105263158,0.4105263158,7407,27,38.94,25.5831515558
../images/mask_set/2high_exsertion_low_seed_set/129.tif,2high_exsertion_low_seed_set,0.3595505618,89,32,0.9368421053,0.3368421053,5517,25,27.4,17.6854913752
../images/mask_set/2high_exsertion_low_seed_set/87.tif,2high_exsertion_low_seed_set,0.3039215686,102,31,1.0736842105,0.3263157895,6568,22,28.55,23.0486673779
../images/mask_set/2high_exsertion_low_seed_set/82.tif,2high_exsertion_low_seed_set,0.4285714286,98,42,1.0315789474,0.4421052632,8397,29,34.3,23.8165499883
../images/mask_set/2high_exsertion_low_seed_set/5.tif,2high_exsertion_low_seed_set,0.3541666667,96,34,1.0105263158,0.3578947368,7311,26,29.17,17.8993411632
../images/mask_set/2high_exsertion_low_seed_set/35.tif,2high_exsertion_low_seed_set,0.3557692308,104,37,1.0947368421,0.3894736842,8583,33,32.94,17.8276721475
../images/mask_set/2high_exsertion_low_seed_set/32.tif,2high_exsertion_low_seed_set,0.2886597938,97,28,1.0210526316,0.2947368421,6330,28,32.84,20.9533172393
../images/mask_set/2high_exsertion_low_seed_set/96.tif,2high_exsertion_low_seed_set,0.2164948454,97,21,1.0210526316,0.2210526316,4518,26,27.19,13.4687687945
../images/mask_set/2high_exsertion_low_seed_set/124.tif,2high_exsertion_low_seed_set,0.3689320388,103,38,1.0842105263,0.4,7623,25,31.17,22.7549507542
../images/mask_set/2high_exsertion_low_seed_set/85.tif,2high_exsertion_low_seed_set,0.2643678161,87,23,0.9157894737,0.2421052632,4290,24,25.64,16.4577698719
../images/mask_set/2high_exsertion_low_seed_set/65.tif,2high_exsertion_low_seed_set,0.3185840708,113,36,1.1894736842,0.3789473684,9455,32,43.03,22.9750546235
../images/mask_set/2high_exsertion_low_seed_set/24.tif,2high_exsertion_low_seed_set,0.3009708738,103,31,1.0842105263,0.3263157895,7371,35,41.22,22.8419321521
../images/mask_set/2high_exsertion_low_seed_set/44.tif,2high_exsertion_low_seed_set,0.34375,96,33,1.0105263158,0.3473684211,6417,33,37.9,24.3422130266
../images/mask_set/2high_exsertion_low_seed_set/30.tif,2high_exsertion_low_seed_set,0.393258427,89,35,0.9368421053,0.3684210526,6390,31,38.34,23.8652337775
../images/mask_set/2high_exsertion_low_seed_set/48.tif,2high_exsertion_low_seed_set,0.33,100,33,1.0526315789,0.3473684211,7308,25,34.3,24.5351522623
../images/mask_set/2high_exsertion_low_seed_set/97.tif,2high_exsertion_low_seed_set,0.4556962025,79,36,0.8315789474,0.3789473684,4267,31,33.78,20.5873080063
../images/mask_set/2high_exsertion_low_seed_set/56.tif,2high_exsertion_low_seed_set,0.4175824176,91,38,0.9578947368,0.4,7005,32,36.44,20.7370318809
../images/mask_set/2high_exsertion_low_seed_set/46.tif,2high_exsertion_low_seed_set,0.3904761905,105,41,1.1052631579,0.4315789474,7954,30,39.3,25.5534609766
../images/mask_set/2high_exsertion_low_seed_set/105.tif,2high_exsertion_low_seed_set,0.3229166667,96,31,1.0105263158,0.3263157895,6135,25,26.88,12.6463796423
../images/mask_set/2high_exsertion_low_seed_set/80.tif,2high_exsertion_low_seed_set,0.2857142857,91,26,0.9578947368,0.2736842105,5382,31,33.12,14.2229581407
