img,folder,ratio,h,w,area,est_h_cm,est_w_cm,mode,gmean,kurtosis,var,std
../images/mask_set/2high_exsertion_low_seed_set/33.tif,2high_exsertion_low_seed_set,0.3714285714,105,39,7893,1.1052631579,0.4105263158,31,36.6,2.0735054187,-2873.4548959925,20.9365197592
../images/mask_set/2high_exsertion_low_seed_set/108.tif,2high_exsertion_low_seed_set,0.40625,96,39,7407,1.0105263158,0.4105263158,27,38.94,-0.8292260768,-3841.1334204242,25.5831515558
../images/mask_set/2high_exsertion_low_seed_set/129.tif,2high_exsertion_low_seed_set,0.3595505618,89,32,5517,0.9368421053,0.3368421053,25,27.4,8.1379446798,-1208.0462375119,17.6854913752
../images/mask_set/2high_exsertion_low_seed_set/87.tif,2high_exsertion_low_seed_set,0.3039215686,102,31,6568,1.0736842105,0.3263157895,22,28.55,1.7488648864,-1450.5955949082,23.0486673779
../images/mask_set/2high_exsertion_low_seed_set/82.tif,2high_exsertion_low_seed_set,0.4285714286,98,42,8397,1.0315789474,0.4421052632,29,34.3,1.1306022257,-2337.2064737097,23.8165499883
../images/mask_set/2high_exsertion_low_seed_set/5.tif,2high_exsertion_low_seed_set,0.3541666667,96,34,7311,1.0105263158,0.3578947368,26,29.17,6.6592633599,-1158.9547030081,17.8993411632
../images/mask_set/2high_exsertion_low_seed_set/35.tif,2high_exsertion_low_seed_set,0.3557692308,104,37,8583,1.0947368421,0.3894736842,33,32.94,4.3549107107,-1637.4523469215,17.8276721475
../images/mask_set/2high_exsertion_low_seed_set/32.tif,2high_exsertion_low_seed_set,0.2886597938,97,28,6330,1.0210526316,0.2947368421,28,32.84,2.2071290878,-2365.8826201666,20.9533172393
../images/mask_set/2high_exsertion_low_seed_set/96.tif,2high_exsertion_low_seed_set,0.2164948454,97,21,4518,1.0210526316,0.2210526316,26,27.19,17.9552779735,-1180.8096779115,13.4687687945
../images/mask_set/2high_exsertion_low_seed_set/124.tif,2high_exsertion_low_seed_set,0.3689320388,103,38,7623,1.0842105263,0.4,25,31.17,1.8817881283,-1702.8005476388,22.7549507542
../images/mask_set/2high_exsertion_low_seed_set/85.tif,2high_exsertion_low_seed_set,0.2643678161,87,23,4290,0.9157894737,0.2421052632,24,25.64,9.5473559083,-1128.8570033266,16.4577698719
../images/mask_set/2high_exsertion_low_seed_set/65.tif,2high_exsertion_low_seed_set,0.3185840708,113,36,9455,1.1894736842,0.3789473684,32,43.03,-0.4028886804,-4135.270436953,22.9750546235
../images/mask_set/2high_exsertion_low_seed_set/24.tif,2high_exsertion_low_seed_set,0.3009708738,103,31,7371,1.0842105263,0.3263157895,35,41.22,-0.1154482936,-4677.3144312756,22.8419321521
../images/mask_set/2high_exsertion_low_seed_set/44.tif,2high_exsertion_low_seed_set,0.34375,96,33,6417,1.0105263158,0.3473684211,33,37.9,-0.126842668,-4141.4122502622,24.3422130266
../images/mask_set/2high_exsertion_low_seed_set/30.tif,2high_exsertion_low_seed_set,0.393258427,89,35,6390,0.9368421053,0.3684210526,31,38.34,0.3514192887,-4378.0480811758,23.8652337775
../images/mask_set/2high_exsertion_low_seed_set/48.tif,2high_exsertion_low_seed_set,0.33,100,33,7308,1.0526315789,0.3473684211,25,34.3,0.3620346547,-2646.0874742859,24.5351522623
../images/mask_set/2high_exsertion_low_seed_set/97.tif,2high_exsertion_low_seed_set,0.4556962025,79,36,4267,0.8315789474,0.3789473684,31,33.78,2.3814153003,-3750.1795288384,20.5873080063
../images/mask_set/2high_exsertion_low_seed_set/56.tif,2high_exsertion_low_seed_set,0.4175824176,91,38,7005,0.9578947368,0.4,32,36.44,2.3132616892,-3193.7932040964,20.7370318809
../images/mask_set/2high_exsertion_low_seed_set/46.tif,2high_exsertion_low_seed_set,0.3904761905,105,41,7954,1.1052631579,0.4315789474,30,39.3,-0.6270699895,-3890.0755084197,25.5534609766
../images/mask_set/2high_exsertion_low_seed_set/105.tif,2high_exsertion_low_seed_set,0.3229166667,96,31,6135,1.0105263158,0.3263157895,25,26.88,19.5404101124,-820.6871347521,12.6463796423
